date,409000405747"_1,409000425051"_1,409000405747"_2,409000425051"_2
20180407,0.0,0.0,-0.45150993322486693,-0.2429011416698229
20180712,0.0,100000.0,-0.45150993322486693,-0.24160590666068088
20180924,36000000.0,0.0,1.093286912011572,-0.2429011416698229
20180925,25000000.0,0.0,0.6212656537448823,-0.2429011416698229
20180926,18900000.0,0.0,0.3595084105242635,-0.2429011416698229
20180927,7100000.0,0.0,-0.14684166652545813,-0.2429011416698229
20180928,103020294.2,0.0,3.969196329983183,-0.2429011416698229
20180929,5000000.0,0.0,-0.23695481583091707,-0.2429011416698229
20180930,236963.0,0.0,-0.4413416083682624,-0.2429011416698229
20181009,0.0,0.0,-0.45150993322486693,-0.2429011416698229
20181010,0.0,0.0,-0.45150993322486693,-0.2429011416698229
20181011,10000000.0,0.0,-0.02239969843696723,-0.2429011416698229
20181026,0.0,15000000.0,-0.45150993322486693,-0.048615890298518274
20181031,1727846.0,354981569.0,-0.3773662929511336,4.354944416019852
20181127,0.0,0.0,-0.45150993322486693,-0.2429011416698229
20181130,1703165.0,2447599.0,-0.3784253799216136,-0.21119898253841266
20181217,0.0,0.0,-0.45150993322486693,-0.2429011416698229
20181219,0.0,0.0,-0.45150993322486693,-0.2429011416698229
20181224,0.0,0.0,-0.45150993322486693,-0.2429011416698229
20181231,1751799.0,2539665.0,-0.3763384452057461,-0.21000651147489596
