date,1196711'_1,409000493210'_1,409000425051'_1,409000405747'_1,1196711'_2,409000493210'_2,409000425051'_2,409000405747'_2
20180101,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180102,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180103,800000.0,0.0,0.0,0.0,-0.1063349405410547,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180104,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180105,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180106,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180107,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180108,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180109,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180110,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180111,200000.0,0.0,0.0,0.0,-0.1270313729983286,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180112,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180115,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180116,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180117,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180118,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180119,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180120,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180122,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180123,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180124,0.0,0.0,0.0,0.0,-0.1339301838174199,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
20180125,4563014.0,0.0,0.0,0.0,0.02346666793690543,-0.10892242796662839,-0.06343750499084931,-0.1110537893148009
