date,409000438611'_1,409000493201'_1,A_1,B_1,409000611074'_1,409000438611'_2,409000493201'_2,A_2,B_2,409000611074'_2
20180101,4500000.0,199758.22,6000.0,16000.0,68250.0,-0.6103586747231784,0.06641826660527858,2.732648917302327,1.641094062522414,-1.1209172418253885
20180102,20297.49,61493.58,0.0,3000.0,147500.0,-1.1054148321984314,-0.3388187480536436,-0.3676239356846826,0.018319585848510855,-0.8338430124565305
20180103,6600000.0,131874.52,0.0,0.0,323500.0,-0.37828569032805365,-0.13254068582103867,-0.3676239356846826,-0.35616683184546677,-0.19630276805376692
20180104,3700000.0,107971.83,0.0,0.0,180300.0,-0.698767430683226,-0.20259659265244304,-0.3676239356846826,-0.35616683184546677,-0.71502869418147
20180105,3200993.5,119145.09,3500.0,0.0,222800.0,-0.7539131105344479,-0.16984911270089545,1.440868561891073,-0.35616683184546677,-0.5610772147092118
20180106,0.0,115908.12,0.0,0.0,145450.0,-1.107657926998446,-0.17933628208375785,-0.3676239356846826,-0.35616683184546677,-0.8412689073487217
20180108,7500003.44,174434.5,0.0,30000.0,0.0,-0.2788254597153495,-0.007802508083451968,-0.3676239356846826,3.388697345094309,-1.3681452059190737
20180109,0.0,165694.99,0.0,0.0,557575.0,-1.107657926998446,-0.03341695977537986,-0.3676239356846826,-0.35616683184546677,0.6516076450631472
20180110,7300000.0,187584.02,500.0,5000.0,495252.0,-0.30092802886301206,0.03073715201328561,-0.10926786460243179,0.26797719764449596,0.42584957317727534
20180111,3200000.0,124081.29,0.0,0.0,256600.0,-0.7540229031582557,-0.15538170475220103,-0.3676239356846826,-0.35616683184546677,-0.43864050868186283
20180112,4000000.0,175473.28,0.0,0.0,0.0,-0.6656141471982082,-0.004757968958427705,-0.3676239356846826,-0.35616683184546677,-1.3681452059190737
20180115,9900000.0,239083.95,2000.0,0.0,858351.0,-0.013599571992857525,0.18167724695255189,0.6658003486443207,-0.35616683184546677,1.7411349436454517
20180116,3100000.0,199639.98,0.0,0.0,412300.0,-0.7650739976532617,0.06607171939976553,-0.3676239356846826,-0.35616683184546677,0.12536526434944556
20180117,3000000.0,184162.48,0.0,0.0,518375.0,-0.7761250921482676,0.02070903018013955,-0.3676239356846826,-0.35616683184546677,0.5096100451734407
20180118,3000000.0,164097.27,0.0,7000.0,0.0,-0.7761250921482676,-0.03809968475163448,-0.3676239356846826,0.517634809440481,-1.3681452059190737
20180119,2800000.0,160649.42,0.0,0.0,0.0,-0.7982272811382795,-0.04820491802741457,-0.3676239356846826,-0.35616683184546677,-1.3681452059190737
20180120,2000000.0,193939.03,0.0,0.0,296450.0,-0.8866360370983271,0.04936292126656396,-0.3676239356846826,-0.35616683184546677,-0.29428835675316894
20180122,5400000.0,153880.37,0.0,0.0,0.0,-0.5108988242681249,-0.06804418867591143,-0.3676239356846826,-0.35616683184546677,-1.3681452059190737
20180123,3000000.0,104333.66,0.0,0.0,747675.0,-0.7761250921482676,-0.21325963093628517,-0.3676239356846826,-0.35616683184546677,1.3402235567731775
20180124,2700000.0,137310.84,0.0,0.0,224800.0,-0.8092783756332854,-0.11660748635998633,-0.3676239356846826,-0.35616683184546677,-0.5538324392046349
20180125,2600000.0,108268.42,0.0,0.0,0.0,-0.8203294701282914,-0.2017273230678429,-0.3676239356846826,-0.35616683184546677,-1.3681452059190737
20180128,0.0,0.0,0.0,0.0,0.0,-1.107657926998446,-0.5190490280434487,-0.3676239356846826,-0.35616683184546677,-1.3681452059190737
20180129,10900000.0,252550.92,0.0,0.0,960500.0,0.09691137295720191,0.22114731478262953,-0.3676239356846826,-0.35616683184546677,2.111158230153962
20180130,11841636.79,117287.45,1000.0,0.0,207100.0,0.20097254441984247,-0.1752936319063192,0.14908820647981902,-0.35616683184546677,-0.6179487024201401
20180131,0.0,82482.93,0.0,0.0,138250.0,-1.107657926998446,-0.27730149003574944,-0.3676239356846826,-0.35616683184546677,-0.8673500991651985
20180201,5800000.0,78571.0,2000.0,16000.0,196150.0,-0.4666944462881012,-0.28876688592261307,0.6658003486443207,1.641094062522414,-0.6576138483076984
20180202,0.0,87199.44,0.0,0.0,0.0,-1.107657926998446,-0.2634779670293687,-0.3676239356846826,-0.35616683184546677,-1.3681452059190737
20180203,5000000.0,38505.91,0.0,0.0,257450.0,-0.5551032022481487,-0.4061928414210039,-0.3676239356846826,-0.35616683184546677,-0.43556147909241766
20180205,6000000.0,70066.41,0.0,0.0,0.0,-0.4445922572980893,-0.313692815375712,-0.3676239356846826,-0.35616683184546677,-1.3681452059190737
20180206,4000000.0,87969.6,0.0,0.0,0.0,-0.6656141471982082,-0.26122072078615194,-0.3676239356846826,-0.35616683184546677,-1.3681452059190737
20180207,3000000.0,91827.28,0.0,0.0,439250.0,-0.7761250921482676,-0.24991432511832662,-0.3676239356846826,-0.35616683184546677,0.22298861427361874
20180208,3931299.07,55919.43,0.0,0.0,0.0,-0.6732063518914561,-0.3551559106518396,-0.3676239356846826,-0.35616683184546677,-1.3681452059190737
20180209,4055411.0,153450.94,5500.0,35000.0,571923.0,-0.6594906252275804,-0.06930279630838332,2.4742928462200764,4.012841374584272,0.7035816645329815
20180212,0.0,171840.28,0.0,0.0,0.0,-1.107657926998446,-0.015405854594667485,-0.3676239356846826,-0.35616683184546677,-1.3681452059190737
20180213,10000000.0,37837.59,0.0,0.0,0.0,-0.002548477497851581,-0.4081516068843708,-0.3676239356846826,-0.35616683184546677,-1.3681452059190737
