date,409000611074'_1,409000611074'_2
20180101,68250.0,-0.9856704481164773
20180102,147500.0,-0.7064400073417013
20180103,323500.0,-0.0863194070090758
20180104,180300.0,-0.590872077279712
20180105,222800.0,-0.4411270459493905
20180106,145450.0,-0.7136630029705757
20180107,0.0,-1.2261433513704643
20180108,0.0,-1.2261433513704643
20180109,557575.0,0.7384233743708067
20180110,495252.0,0.5188337370155214
20180111,256600.0,-0.3220357033855113
20180112,0.0,-1.2261433513704643
20180113,0.0,-1.2261433513704643
20180115,858351.0,1.7981812930392487
20180116,412300.0,0.2265596231587489
20180117,518375.0,0.600305604296722
20180118,0.0,-1.2261433513704643
20180119,0.0,-1.2261433513704643
20180120,296450.0,-0.18162771518519807
20180122,0.0,-1.2261433513704643
20180123,747675.0,1.40822409098008
20180124,224800.0,-0.4340802209456107
20180125,0.0,-1.2261433513704643
20180128,0.0,-1.2261433513704643
20180129,960500.0,2.158094356694802
20180130,207100.0,-0.4964446222290622
20180131,138250.0,-0.7390315729841831
20180201,196150.0,-0.5350259891247569
20180202,0.0,-1.2261433513704643
20180203,257450.0,-0.3190408027589049
20180205,0.0,-1.2261433513704643
20180206,0.0,-1.2261433513704643
20180207,439250.0,0.32151559008468217
20180208,0.0,-1.2261433513704643
20180209,571923.0,0.7889772969479233
20180212,0.0,-1.2261433513704643
20180213,0.0,-1.2261433513704643
20180214,0.0,-1.2261433513704643
20180215,0.0,-1.2261433513704643
20180216,1185575.0,2.9511264255576752
20180217,981428.0,2.231832333534354
20180219,0.0,-1.2261433513704643
20180220,0.0,-1.2261433513704643
20180221,1096200.0,2.6362214332012637
20180222,764500.0,1.467505506324378
20180223,0.0,-1.2261433513704643
20180226,921453.0,2.0205156687335064
20180227,103300.0,-0.8621748399252357
20180228,182450.0,-0.5832967404006487
20180301,0.0,-1.2261433513704643
20180302,0.0,-1.2261433513704643
20180303,0.0,-1.2261433513704643
20180305,155500.0,-0.678252707326582
20180306,0.0,-1.2261433513704643
20180307,1106099.0,2.6710996935574722
20180308,371900.0,0.08421375808239623
20180309,345930.0,-0.007289264591684944
20180310,0.0,-1.2261433513704643
20180312,521650.0,0.6118447802404114
20180313,577493.0,0.8086027045834501
20180314,556224.0,0.7336632440807535
20180315,425700.0,0.2737733506840738
20180316,213463.0,-0.4740251484795367
20180317,199983.0,-0.5215207490050128
20180319,240510.0,-0.3787274105409201
20180320,536049.0,0.6625783968551243
20180321,0.0,-1.2261433513704643
20180322,726625.0,1.3340562578152972
20180323,301200.0,-0.16489150580122097
20180326,275775.0,-0.25447426866177214
20180327,259150.0,-0.31305100150569204
20180328,139650.0,-0.7340987954815372
20180329,0.0,-1.2261433513704643
20180330,0.0,-1.2261433513704643
20180331,332025.0,-0.056282315430464254
20180401,0.0,-1.2261433513704643
20180402,0.0,-1.2261433513704643
20180403,0.0,-1.2261433513704643
20180404,0.0,-1.2261433513704643
20180405,0.0,-1.2261433513704643
20180406,934300.0,2.065780949145286
20180407,303600.0,-0.15643531579668518
20180409,48800.0,-1.0542008212782363
20180410,305950.0,-0.14815529641724387
20180411,162600.0,-0.6532364785631636
20180412,639700.0,1.0277836260885163
20180413,363900.0,0.05602645806727688
20180415,0.0,-1.2261433513704643
20180416,472850.0,0.4399022501481834
20180417,555650.0,0.7316408053046687
20180418,574150.0,0.7968239365896321
20180419,388550.0,0.14287857623886335
20180420,276300.0,-0.2526244770982799
20180421,167591.0,-0.635651126766231
20180423,0.0,-1.2261433513704643
20180424,0.0,-1.2261433513704643
20180425,1028650.0,2.3982149186985997
20180426,0.0,-1.2261433513704643
20180427,765376.0,1.4705920156760335
20180428,0.0,-1.2261433513704643
20180429,0.0,-1.2261433513704643
20180430,0.0,-1.2261433513704643
20180501,0.0,-1.2261433513704643
20180502,785773.0,1.5424590604770823
20180503,206700.0,-0.4978539872298182
20180504,237000.0,-0.3910945884225537
20180505,272000.0,-0.2677751508564066
20180506,0.0,-1.2261433513704643
20180507,488799.0,0.4960971561408257
20180508,392900.0,0.1582054206220845
20180509,290350.0,-0.20312053144672657
20180510,365625.0,0.06210434463303699
20180511,352850.0,0.017092749921393285
20180512,0.0,-1.2261433513704643
20180513,0.0,-1.2261433513704643
20180514,581049.0,0.8211319594401707
20180515,823240.0,1.6744707566853918
20180516,785049.0,1.539908109825714
20180517,403100.0,0.19414422814136165
20180518,459800.0,0.39392171699852
20180519,373850.0,0.09108441246108157
20180521,291200.0,-0.20012563082012014
20180522,376125.0,0.09910017590288113
20180523,265250.0,-0.2915581852441635
20180524,119100.0,-0.806504922395375
20180525,93350.0,-0.8972327943190403
20180526,0.0,-1.2261433513704643
20180528,308675.0,-0.13855399734959384
20180529,364100.0,0.05673114056765486
20180530,341200.0,-0.023955005725624257
20180531,234600.0,-0.3995507784270895
20180601,78000.0,-0.9513171762230507
20180602,353500.0,0.019382968047621733
20180603,0.0,-1.2261433513704643
20180604,402850.0,0.1932633750158892
20180605,578750.0,0.8130316340983257
20180606,251200.0,-0.34106213089571685
20180607,217075.0,-0.46129858252271033
20180608,491005.0,0.5038698041199949
20180611,990850.0,2.265029926127161
20180612,793251.0,1.568807139166215
20180613,749850.0,1.4158875131716906
20180614,533800.0,0.654654242138374
20180615,559730.0,0.7460163283123795
20180616,0.0,-1.2261433513704643
20180618,518200.0,0.5996890071088912
20180619,709200.0,1.2726607949698656
20180620,689650.0,1.2037780805579177
20180621,386200.0,0.13459855685942204
20180622,434905.0,0.3062063627639705
20180623,0.0,-1.2261433513704643
20180625,363851.0,0.05585381085468427
