date,409000493201"_1,A_1,B_1,409000493201"_2,A_2,B_2
20180101,199758.22,6000.0,16000.0,0.11054028944407941,2.861789681423737,1.7302380141665668
20180102,61493.58,0.0,3000.0,-0.3072301130191053,-0.35101773243912604,0.048016953356456914
20180103,131874.52,0.0,0.0,-0.0945721722069262,-0.35101773243912604,-0.34018790683049155
20180104,107971.83,0.0,0.0,-0.16679480571071092,-0.35101773243912604,-0.34018790683049155
20180105,119145.09,3500.0,0.0,-0.133034494129776,1.5231199256475443,-0.34018790683049155
20180106,115908.12,0.0,0.0,-0.14281508777730045,-0.35101773243912604,-0.34018790683049155
20180107,0.0,0.0,0.0,-0.49303465180430767,-0.35101773243912604,-0.34018790683049155
20180108,174434.5,0.0,30000.0,0.03402397481537174,-0.35101773243912604,3.541860695038993
20180109,165694.99,0.0,0.0,0.007617305619031798,-0.35101773243912604,-0.34018790683049155
20180110,187584.02,500.0,5000.0,0.07375561019660654,-0.08328378128388744,0.30682019348108924
20180111,124081.29,0.0,0.0,-0.11811963042609318,-0.35101773243912604,-0.34018790683049155
20180112,175473.28,0.0,0.0,0.03716267707988931,-0.35101773243912604,-0.34018790683049155
20180113,0.0,0.0,0.0,-0.49303465180430767,-0.35101773243912604,-0.34018790683049155
20180115,239083.95,2000.0,0.0,0.22936406137346455,0.7199180721818285,-0.34018790683049155
20180116,199639.98,0.0,0.0,0.11018302404066721,-0.35101773243912604,-0.34018790683049155
20180117,184162.48,0.0,0.0,0.06341733323118807,-0.35101773243912604,-0.34018790683049155
20180118,164097.27,0.0,7000.0,0.0027897508123691547,-0.35101773243912604,0.5656234336057215
20180119,160649.42,0.0,0.0,-0.007628022539752412,-0.35101773243912604,-0.34018790683049155
20180120,193939.03,0.0,0.0,0.09295744723431601,-0.35101773243912604,-0.34018790683049155
20180122,153880.37,0.0,0.0,-0.028080892794890875,-0.35101773243912604,-0.34018790683049155
20180123,104333.66,0.0,0.0,-0.17778763616345347,-0.35101773243912604,-0.34018790683049155
20180124,137310.84,0.0,0.0,-0.07814618220457517,-0.35101773243912604,-0.34018790683049155
20180125,108268.42,0.0,0.0,-0.16589865089002392,-0.35101773243912604,-0.34018790683049155
20180128,0.0,0.0,0.0,-0.49303465180430767,-0.35101773243912604,-0.34018790683049155
20180129,252550.92,0.0,0.0,0.2700548806375919,-0.35101773243912604,-0.34018790683049155
20180130,117287.45,1000.0,0.0,-0.13864740434623993,0.18445016987135116,-0.34018790683049155
20180131,82482.93,0.0,0.0,-0.2438102162404304,-0.35101773243912604,-0.34018790683049155
20180201,78571.0,2000.0,16000.0,-0.2556302200426159,0.7199180721818285,1.7302380141665668
20180202,87199.44,0.0,0.0,-0.22955915189800968,-0.35101773243912604,-0.34018790683049155
20180203,38505.91,0.0,0.0,-0.37668798849320245,-0.35101773243912604,-0.34018790683049155
20180205,70066.41,0.0,0.0,-0.2813270720149233,-0.35101773243912604,-0.34018790683049155
20180206,87969.6,0.0,0.0,-0.22723209233194094,-0.35101773243912604,-0.34018790683049155
20180207,91827.28,0.0,0.0,-0.21557600639287386,-0.35101773243912604,-0.34018790683049155
20180208,55919.43,0.0,0.0,-0.324072560147237,-0.35101773243912604,-0.34018790683049155
20180209,153450.94,5500.0,35000.0,-0.0293784273194791,2.5940557302684986,4.188868795350573
20180212,171840.28,0.0,0.0,0.026185467923963757,-0.35101773243912604,-0.34018790683049155
20180213,37837.59,0.0,0.0,-0.3787073357057233,-0.35101773243912604,-0.34018790683049155
20180214,29484.1,0.0,5000.0,-0.4039476348832439,-0.35101773243912604,0.30682019348108924
20180215,61110.96,0.0,0.0,-0.30838620984466003,-0.35101773243912604,-0.34018790683049155
20180216,102212.77,2500.0,0.0,-0.18419596347606315,0.987652023337067,-0.34018790683049155
20180217,107049.16,0.0,0.0,-0.16958267842524377,-0.35101773243912604,-0.34018790683049155
20180219,88031.13,0.0,0.0,-0.22704617774912672,-0.35101773243912604,-0.34018790683049155
20180220,80144.06,0.0,2000.0,-0.25087717610239557,-0.35101773243912604,-0.08138466670585924
20180221,134293.53,0.0,0.0,-0.08726306713666042,-0.35101773243912604,-0.34018790683049155
20180222,100015.35,0.0,0.0,-0.19083552828294834,-0.35101773243912604,-0.34018790683049155
20180223,110202.4,0.0,0.0,-0.1600550772694963,-0.35101773243912604,-0.34018790683049155
20180226,94909.73,3000.0,0.0,-0.20626229916394936,1.2553859744923057,-0.34018790683049155
20180227,83883.09,0.0,0.0,-0.23957959439298732,-0.35101773243912604,-0.34018790683049155
20180228,53685.02,0.0,0.0,-0.33082389125378575,-0.35101773243912604,-0.34018790683049155
20180301,92260.68,6000.0,16000.0,-0.21426647640438554,2.861789681423737,1.7302380141665668
20180302,22018.4,0.0,0.0,-0.42650545222301645,-0.35101773243912604,-0.34018790683049155
20180303,0.0,0.0,0.0,-0.49303465180430767,-0.35101773243912604,-0.34018790683049155
20180305,77952.12,1500.0,30000.0,-0.25750018293896026,0.4521841210265898,3.541860695038993
20180306,78194.25,0.0,0.0,-0.25676858050215207,-0.35101773243912604,-0.34018790683049155
20180307,133276.73,0.0,0.0,-0.09033535622825001,-0.35101773243912604,-0.34018790683049155
20180308,208169.53,0.0,0.0,0.1359552933376462,-0.35101773243912604,-0.34018790683049155
20180309,205372.21,0.0,0.0,0.12750311422505226,-0.35101773243912604,-0.34018790683049155
20180310,0.0,0.0,0.0,-0.49303465180430767,-0.35101773243912604,-0.34018790683049155
20180312,587655.98,0.0,0.0,1.2825840116117124,-0.35101773243912604,-0.34018790683049155
