date,1196711'_1,409000493210'_1,409000425051'_1,409000405747'_1,1196711'_2,409000493210'_2,409000425051'_2,409000405747'_2
20180101,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180102,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180103,800000.0,0.0,0.0,0.0,-0.09560231348330814,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180104,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180105,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180106,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180107,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180108,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180109,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180110,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180111,200000.0,0.0,0.0,0.0,-0.1177127472658131,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180112,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180113,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180115,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180116,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180117,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180118,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180119,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
20180120,0.0,0.0,0.0,0.0,-0.12508289185998142,-0.10176591358822469,-0.0592986817578273,-0.10375418358132396
