date,1196428"_1,409000362497"_1,409000438611"_1,409000438620"_1,1196428"_2,409000362497"_2,409000438611"_2,409000438620"_2
20180101,35000000.0,29803266.43,4500000.0,71675659.0,-0.28404334589798197,1.586030087442874,-0.5472262669256822,1.927579631713473
20180102,59400000.0,26902340.42,20297.49,26498671.0,0.7779715869472708,1.3105934974909603,-1.040129789328531,0.10960356747506106
20180103,43502723.23,24387062.44,6600000.0,45522707.5,0.0860394016475187,1.0717733458551941,-0.3161623972300175,0.8751535639068261
20180104,40300000.0,26530528.04,3700000.0,46696444.7,-0.05335977441930003,1.2752907239296638,-0.6352505982383164,0.9223861535452991
20180105,44001591.01,30309475.31,3200993.5,43693730.0,0.10775272262601714,1.6340935152000602,-0.690156490092264,0.8015533204149268
20180106,31000000.0,26397881.37,0.0,44784322.05,-0.45814415456113816,1.2626962122712033,-1.0423631305592496,0.8454400497105738
20180108,45400000.0,29558693.11,7500003.44,76669722.07,0.16861875662622408,1.5628083847790346,-0.2171346459986793,2.1285467064674823
20180109,43502471.84,36297170.09,0.0,52824830.36,0.08602845984694654,2.2026120593445473,-1.0423631305592496,1.1689997268605876
20180110,70501069.25,27906997.82,7300000.0,52797123.0,1.2611478703099448,1.4059835237694849,-0.23914110733146254,1.167884749534449
20180111,41152720.0,32784249.97,3200000.0,51711746.0,-0.0162449640284884,1.8690679650481647,-0.6902658053087128,1.124207880092093
20180112,70269413.23,35666842.230000004,4000000.0,49029533.98,1.251064995206523,2.142763805472644,-0.6022414739960786,1.016272458377556
20180113,0.0,0.0,0.0,0.0,-1.8074254217005985,-1.24372497925307,-1.0423631305592496,-0.9567346667633202
20180115,49813790.0,52276766.38,9900000.0,139100410.0,0.3607298586935621,3.7198398327360698,0.0469379694345986,4.640832304849515
20180116,29628951.95,32798613.25,3100000.0,46657246.88,-0.517819298116399,1.8704317271193402,-0.7012688467227921,0.9208087863571561
20180117,62613594.45,21516860.12,3000000.0,54914342.85,0.9178439350623785,0.7992539031780361,-0.7122718881368714,1.2530842101543214
20180118,47000669.25,25569990.910000004,3000000.0,51073375.21,0.23828820933303602,1.1840898209430353,-0.7122718881368714,1.0985190755102343
20180119,49945266.3,27871464.12,2800000.0,52855900.75,0.36645239123107193,1.4026096765487577,-0.7342779709650299,1.1702500365387485
20180120,37500000.0,25767159.1,2000000.0,50772578.9,-0.17523034048350936,1.2028105100310658,-0.8223023022776641,1.0864146720074768
20180122,37000000.0,30858541.64,5400000.0,83347840.7,-0.19699294156640387,1.6862261642477387,-0.44819889419896874,2.397282192407462
20180123,36887288.94,23404055.110000007,3000000.0,43687349.0,-0.20189871323922437,0.9784389464463192,-0.7122718881368714,0.801296541338245
20180124,56000000.0,20743753.75,2700000.0,47487059.4,0.629985899583588,0.7258491415643806,-0.7452810123791092,0.954201435268707
20180125,60052138.93,14450962.079999998,2600000.0,47138123.16,0.8063560657157021,0.12836231394873607,-0.7562840537931884,0.940159823369628
20180129,26500611.99,38151227.4,10900000.0,141964921.0,-0.6539809273187155,2.378650752258958,0.15696838357539136,4.7561036556918435
20180130,38415004.85,26788165.56,11841636.79,51583052.7,-0.13540456940458181,1.2997528438554553,0.26057706954929793,1.1190291076819479
