date,1196428'_1,409000362497'_1,409000438620'_1,1196428'_2,409000362497'_2,409000438620'_2
20180101,35000000.0,29803266.43,71675659.0,-0.23227610903965162,1.6070834647555616,1.9542974050264936
20180102,59400000.0,26902340.42,26498671.0,0.8017057521494743,1.333389992225308,0.13385379791432078
20180103,43502723.23,24387062.44,45522707.5,0.1280378905722915,1.0960812286263764,0.9004428770245447
20180104,40300000.0,26530528.04,46696444.7,-0.007681688371521835,1.2983106344405368,0.9477395755598642
20180105,44001591.01,30309475.31,43693730.0,0.14917806416457383,1.654842720150307,0.8267427357617628
20180106,31000000.0,26397881.37,44784322.05,-0.40178133218540996,1.285795827924712,0.8706890326107217
20180107,0.0,0.0,0.0,-1.715446811565037,-1.2047633227366288,-0.9339317795331782
20180108,45400000.0,29558693.11,76669722.07,0.20843747113932004,1.584008722067087,2.1555372528290184
20180109,43502471.84,36297170.09,52824830.36,0.12802723759278015,2.2197633596772266,1.194687878015639
20180110,70501069.25,27906997.82,52797123.0,1.2721280572439158,1.4281763368481466,1.1935713873283458
20180111,41152720.0,32784249.97,51711746.0,0.028453435098690926,1.8883301197221694,1.149835235175914
20180112,70269413.23,35666842.230000004,49029533.98,1.2623113309031264,2.160293859165573,1.041753312478269
20180113,0.0,0.0,0.0,-1.715446811565037,-1.2047633227366288,-0.9339317795331782
20180115,49813790.0,52276766.38,139100410.0,0.3954775858564492,3.727389263669745,4.671232781928559
20180116,29628951.95,32798613.25,46657246.88,-0.4598812836001117,1.8896852511410933,0.9461600674077995
20180117,62613594.45,21516860.12,54914342.85,0.9378860132362795,0.8252864420247041,1.278886489361786
20180118,47000669.25,25569990.910000004,51073375.21,0.27626792074027096,1.207686901984864,1.124111563123615
20180119,49945266.3,27871464.12,52855900.75,0.40104906574891874,1.4248238412273264,1.1959398847418508
20180120,37500000.0,25767159.1,50772578.9,-0.12633534457355267,1.2262891160391287,1.1119907302876049
20180122,37000000.0,30858541.64,83347840.7,-0.14752349746677246,1.7066454445180144,2.424637494029698
20180123,36887288.94,23404055.110000007,43687349.0,-0.1522997758108463,1.0033375017119517,0.8264856081582806
20180124,56000000.0,20743753.75,47487059.4,0.6576263124755797,0.7523462269653896,0.9795980402344879
20180125,60052138.93,14450962.079999998,47138123.16,0.8293409908623958,0.1586406315332072,0.9655373696249785
20180128,0.0,0.0,0.0,-1.715446811565037,-1.2047633227366288,-0.9339317795331782
20180129,26500611.99,38151227.4,141964921.0,-0.5924487743490099,2.3946879808825776,4.786660590826587
20180130,38415004.85,26788165.56,51583052.7,-0.08756081925387732,1.3226179443339328,1.144649433606691
20180131,28816961.31,5137198.2,55244298.56,-0.4942904472564785,-0.7200844272434724,1.2921823240221146
20180201,46679400.76,20037407.41,51036245.7,0.26265374896848315,0.6857046159979884,1.1226153992112553
20180202,84265685.52,26467559.0,52260863.7,1.855421645334437,1.2923696986289763,1.1719623811139555
20180203,56500000.0,22171987.69,57407224.08,0.6788144653687994,0.8870957191195057,1.3793391733353926
20180205,26000000.0,27987699.14,80823236.6,-0.6136628611176079,1.4357902588966358,2.3229065111156935
20180206,64000000.0,24476826.6,51862313.0,0.9966367587670963,1.1045502018350937,1.1559024553410135
20180207,40601678.97,20237904.39,51820895.95,0.005102351910536249,0.7046208911800738,1.1542335215046555
20180208,62331848.0,25503426.480000004,49732475.6,0.9259466395168355,1.2014067521530878,1.0700789188312663
20180209,68601184.63,25595998.89,45248872.7,1.191617965627842,1.2101406751370087,0.8894084802412789
20180212,69298762.0,49531076.22,125583108.7,1.2211787175686626,3.4683418175121816,4.126542092567107
20180213,15500000.0,22139494.360000007,0.0,-1.0586140718752235,0.8840300730840281,-0.9339317795331782
20180214,48933423.35,8168247.8900000015,104137398.15,0.35817089949186587,-0.43411418456642825,3.262369680924136
20180215,143392930.4,11074291.89,43990403.6,4.361015854679012,-0.1599378453754441,0.8386974406331668
20180216,88471319.08,30582499.05,57497380.0,2.0336408590987096,1.6806016727144912,1.3829720797214342
20180217,56000000.0,23656078.42,60840714.0,0.6576263124755797,1.0271151281094162,1.5176944522430544
20180219,8850000.0,39078135.61,1200000.0,-1.3404165053550468,2.482138927868882,-0.8855768000348856
20180220,58029671.0,29524949.090000004,119745723.05,0.7436362714174483,1.5808250772657055,3.8913198730426255
20180221,74001588.95,23437754.41,61528009.0,1.4204671504625717,1.0065169273184797,1.5453895652716203
20180222,40000000.0,23367816.910000004,46732692.96,-0.02039458010745371,0.9999185386766806,0.9492002287841548
20180223,90479333.29,24234505.85,46690787.44,2.118733083285186,1.081687982217974,0.9475116116504336
20180226,62486249.0,51671806.09,124433605.0,0.9324895835065676,3.6703131155907354,4.080221902694848
20180227,25000100.0,24747089.27,46009827.29000001,-0.6560349292734688,1.1300486559123826,0.9200717665734305
20180228,38020758.08,23779759.34,50253021.0,-0.10426754093471358,1.0387840436087592,1.0910547206187085
20180301,64474497.0,12614145.77,55251245.45,1.0167441887338444,-0.014657354196565539,1.292462254625054
20180302,0.0,4818841.55,0.0,-1.715446811565037,-0.7501204008399167,-0.9339317795331782
20180303,33000000.0,6635993.199999998,67423476.4,-0.3170287206125308,-0.5786777154738809,1.7829522363214971
20180305,32001324.99,19953370.39,64422811.0,-0.3593488782175665,0.6777759808843702,1.6620379747396337
20180306,38500029.5,12278607.14,38069155.0,-0.08395778868609238,-0.046314394912589756,0.6000958950854222
20180307,49807010.05000001,11793374.05,48100521.0,0.39519027662203293,-0.09209464884905093,1.004317976143646
